T,K,N,d,noise_std,method,pool_index,position,num_examples,mse
2,2,50,4,0.0,transformer,0,0,200,0.44135141480013246
2,2,50,4,0.0,transformer,0,1,200,0.44265737312261644
2,2,50,4,0.0,transformer,0,2,200,0.2928678499610349
2,2,50,4,0.0,transformer,0,3,200,0.26152067305280424
2,2,50,4,0.0,transformer,0,4,200,0.14577673205224495
2,2,50,4,0.0,transformer,0,5,200,0.16637560490332828
2,2,50,4,0.0,transformer,0,6,200,0.1321338375287643
2,2,50,4,0.0,transformer,0,7,200,0.0506669633092043
2,2,50,4,0.0,transformer,0,8,200,0.04952698745240346
2,2,50,4,0.0,transformer,0,9,200,0.10745161947332306
2,2,50,4,0.0,transformer,0,10,200,0.041968270707673436
2,2,50,4,0.0,transformer,0,11,200,0.03782491674636191
2,2,50,4,0.0,transformer,0,12,200,0.05842871641922584
2,2,50,4,0.0,transformer,0,13,200,0.022013343180279525
2,2,50,4,0.0,transformer,0,14,200,0.023831292158696737
2,2,50,4,0.0,transformer,0,15,200,0.050210712021109015
2,2,50,4,0.0,transformer,0,16,200,0.016824034659985915
2,2,50,4,0.0,transformer,0,17,200,0.02745034616581643
2,2,50,4,0.0,transformer,0,18,200,0.02292928494624065
2,2,50,4,0.0,transformer,0,19,200,0.03351260635874315
2,2,50,4,0.0,transformer,0,20,200,0.010285305427456582
2,2,50,4,0.0,transformer,0,21,200,0.03392253982463454
2,2,50,4,0.0,transformer,0,22,200,0.020395250438201805
2,2,50,4,0.0,transformer,0,23,200,0.009008628673567644
2,2,50,4,0.0,transformer,0,24,200,0.01736409416112847
2,2,50,4,0.0,transformer,0,25,200,0.025142780962296732
2,2,50,4,0.0,transformer,0,26,200,0.00692431351717203
2,2,50,4,0.0,transformer,0,27,200,0.016736982622554974
2,2,50,4,0.0,transformer,0,28,200,0.00871368423738567
2,2,50,4,0.0,transformer,0,29,200,0.012219737978868613
2,2,50,4,0.0,transformer,0,30,200,0.025015086682673476
2,2,50,4,0.0,transformer,0,31,200,0.007994953517758384
2,2,50,4,0.0,transformer,0,32,200,0.010100596345930468
2,2,50,4,0.0,transformer,0,33,200,0.04069423489794696
2,2,50,4,0.0,transformer,0,34,200,0.01445070026251803
2,2,50,4,0.0,transformer,0,35,200,0.00763071228311695
2,2,50,4,0.0,transformer,0,36,200,0.004663603128919428
2,2,50,4,0.0,transformer,0,37,200,0.012476450379426707
2,2,50,4,0.0,transformer,0,38,200,0.006820434244477464
2,2,50,4,0.0,transformer,0,39,200,0.0088903467154599
2,2,50,4,0.0,transformer,0,40,200,0.025123845236230156
2,2,50,4,0.0,transformer,0,41,200,0.006132471972925424
2,2,50,4,0.0,transformer,0,42,200,0.007564847524365157
2,2,50,4,0.0,transformer,0,43,200,0.008098945973612446
2,2,50,4,0.0,transformer,0,44,200,0.00590186329069503
2,2,50,4,0.0,transformer,0,45,200,0.014909953460148884
2,2,50,4,0.0,transformer,0,46,200,0.013792950714412746
2,2,50,4,0.0,transformer,0,47,200,0.004524259445999054
2,2,50,4,0.0,transformer,0,48,200,0.016992700801405143
2,2,50,4,0.0,transformer,0,49,200,0.02084287360978561
2,2,50,4,0.0,known_pool,0,0,200,2.3324826829804773e-15
2,2,50,4,0.0,known_pool,0,1,200,2.145936870841266e-15
2,2,50,4,0.0,known_pool,0,2,200,2.3964237907890357e-15
2,2,50,4,0.0,known_pool,0,3,200,1.9442509721598635e-15
2,2,50,4,0.0,known_pool,0,4,200,2.287420653643666e-15
2,2,50,4,0.0,known_pool,0,5,200,2.4562312283919124e-15
2,2,50,4,0.0,known_pool,0,6,200,1.698499053849555e-15
2,2,50,4,0.0,known_pool,0,7,200,2.1645716895055894e-15
2,2,50,4,0.0,known_pool,0,8,200,2.8250704573911126e-15
2,2,50,4,0.0,known_pool,0,9,200,2.4719545297559764e-15
2,2,50,4,0.0,known_pool,0,10,200,2.441123879520141e-15
2,2,50,4,0.0,known_pool,0,11,200,2.1829216917440157e-15
2,2,50,4,0.0,known_pool,0,12,200,1.6593512953234533e-15
2,2,50,4,0.0,known_pool,0,13,200,2.5149387526267854e-15
2,2,50,4,0.0,known_pool,0,14,200,2.6478618810256466e-15
2,2,50,4,0.0,known_pool,0,15,200,2.5185838240094618e-15
2,2,50,4,0.0,known_pool,0,16,200,2.066730366856898e-15
2,2,50,4,0.0,known_pool,0,17,200,2.4368543718136087e-15
2,2,50,4,0.0,known_pool,0,18,200,1.856375712763476e-15
2,2,50,4,0.0,known_pool,0,19,200,2.113530869467835e-15
2,2,50,4,0.0,known_pool,0,20,200,2.3140863232087785e-15
2,2,50,4,0.0,known_pool,0,21,200,2.4060456876859697e-15
2,2,50,4,0.0,known_pool,0,22,200,1.912978606091346e-15
2,2,50,4,0.0,known_pool,0,23,200,1.781475221052127e-15
2,2,50,4,0.0,known_pool,0,24,200,2.3818584021912445e-15
2,2,50,4,0.0,known_pool,0,25,200,2.664302097109783e-15
2,2,50,4,0.0,known_pool,0,26,200,2.299488139778809e-15
2,2,50,4,0.0,known_pool,0,27,200,2.7421568401462936e-15
2,2,50,4,0.0,known_pool,0,28,200,1.9526412744853667e-15
2,2,50,4,0.0,known_pool,0,29,200,1.786312901508533e-15
2,2,50,4,0.0,known_pool,0,30,200,2.1271359150065574e-15
2,2,50,4,0.0,known_pool,0,31,200,2.6472019072702566e-15
2,2,50,4,0.0,known_pool,0,32,200,2.1816499041214116e-15
2,2,50,4,0.0,known_pool,0,33,200,2.1287494624624433e-15
2,2,50,4,0.0,known_pool,0,34,200,2.153351513110478e-15
2,2,50,4,0.0,known_pool,0,35,200,2.2396409135001444e-15
2,2,50,4,0.0,known_pool,0,36,200,2.1576159660116617e-15
2,2,50,4,0.0,known_pool,0,37,200,1.700028440563749e-15
2,2,50,4,0.0,known_pool,0,38,200,2.536568150131416e-15
2,2,50,4,0.0,known_pool,0,39,200,2.166040218870215e-15
2,2,50,4,0.0,known_pool,0,40,200,2.3111313910643452e-15
2,2,50,4,0.0,known_pool,0,41,200,2.10173361936201e-15
2,2,50,4,0.0,known_pool,0,42,200,2.0907275332452026e-15
2,2,50,4,0.0,known_pool,0,43,200,2.6487483613600398e-15
2,2,50,4,0.0,known_pool,0,44,200,3.0198944284865682e-15
2,2,50,4,0.0,known_pool,0,45,200,2.5676354115693087e-15
2,2,50,4,0.0,known_pool,0,46,200,2.056253444796573e-15
2,2,50,4,0.0,known_pool,0,47,200,1.9059008622299645e-15
2,2,50,4,0.0,known_pool,0,48,200,2.8728351328501793e-15
2,2,50,4,0.0,known_pool,0,49,200,2.111098807085228e-15
2,2,50,4,0.0,ridge_current,0,0,200,0.4986435663246233
2,2,50,4,0.0,ridge_current,0,1,200,0.5694057716885994
2,2,50,4,0.0,ridge_current,0,2,200,0.5331249445741344
2,2,50,4,0.0,ridge_current,0,3,200,0.5503863011532955
2,2,50,4,0.0,ridge_current,0,4,200,0.642489889140269
2,2,50,4,0.0,ridge_current,0,5,200,0.5442553967358843
2,2,50,4,0.0,ridge_current,0,6,200,0.5207698621726078
2,2,50,4,0.0,ridge_current,0,7,200,0.53034550134819
2,2,50,4,0.0,ridge_current,0,8,200,0.543968525770905
2,2,50,4,0.0,ridge_current,0,9,200,0.5887025147229612
2,2,50,4,0.0,ridge_current,0,10,200,0.6497720811286881
2,2,50,4,0.0,ridge_current,0,11,200,0.5719274361955805
2,2,50,4,0.0,ridge_current,0,12,200,0.5202867777515323
2,2,50,4,0.0,ridge_current,0,13,200,0.5756252623913839
2,2,50,4,0.0,ridge_current,0,14,200,0.5681278239844151
2,2,50,4,0.0,ridge_current,0,15,200,0.5539309192391471
2,2,50,4,0.0,ridge_current,0,16,200,0.517529222069491
2,2,50,4,0.0,ridge_current,0,17,200,0.6594143525689158
